year,flow_wtr,flow_sum,NPGO,Hrel
1978,233.6,29.45,-0.75,340416
1979,390.8,28.32,-0.22,274090
1980,489.9,41.91,-0.69,216537
1981,253.2,40.49,-0.09,300942
1982,248.3,39.64,0.62,241931
1983,305.8,40.78,-0.39,256238
1984,199.4,45.87,-0.73,319220
1985,204.7,42.76,0.43,125280
1986,207,45.02,1.32,229013
1987,189.7,36.53,0.61,217948
1988,215.5,53.52,-0.2,226771
1989,450.2,57.48,-0.5,205732
1990,756.1,79.57,-1.09,154815
1991,209.8,45.59,-1.9,375642
1992,158,44.46,-1.21,377991
1993,171,65.98,-1.04,379290
1994,205,50.4,-0.97,314095
1995,798.5,55.22,-0.66,328461
1996,242.7,60.6,0.54,583720
1997,404.9,51.25,1.52,445434
1998,196.2,97.41,1.89,463027
1999,424.8,64,2.08,463460
2000,164,45.31,1.47,421213
2001,267.9,49.84,0.96,513330
2002,190.9,65.98,0.21,529821
2003,926,60.03,-1.38,466100
2004,297.3,59.18,-0.55,517000
2005,216.9,55.78,0.59,511560
2006,710.8,64.56,1.45,235010
2007,227.1,62.01,0.74,174000
2008,178.4,64.28,1.37,231500
2009,320,50.4,0.86,240000
2010,232.8,93.73,1.48,226050
2011,207.6,61.73,0.34,235000
2012,297.3,68.81,-0.25,0
2013,239.6,72.21,-1.39,0
2014,351.1,62.01,-0.19,0
2015,226,62.3,-0.86,0
